lfdn,duration,v_Assent,consent,age,gender,v_788,v_89,v_468,v_469,v_470,v_471,v_472,v_473,v_474,v_475,v_476,v_477,v_478,v_479,v_480,v_481,v_482,v_483,v_484,v_563,v_485,v_486,v_487,v_488,v_489,v_490,v_491,v_492,v_493,v_494,v_495,v_496,v_497,v_498,v_499,v_500,v_501,v_502,v_503,v_504,v_505,v_506,v_507,v_508,v_509,v_510,v_511,v_512,v_513,v_514,v_515,v_516,v_455,v_517,v_518,v_519,v_520,v_521,v_522,v_523,v_524,v_525,v_526,v_527,v_528,v_529,v_530,v_531,v_532,v_533,v_534,v_535,v_536,v_537,v_538,v_539,v_540,v_542,v_543,v_544,v_545,v_546,v_547,v_548,v_549,v_550,v_551,v_552,v_553,v_554,v_555,v_556,v_557,v_558,v_559,v_560,v_561,v_Serious
88,1164,1,1,42,2,NA,8,7,7,6,3,4,7,6,7,7,7,7,1,5,6,1,7,7,NA,7,2,7,7,7,6,7,7,7,6,7,6,7,7,7,7,7,2,1,7,1,7,7,6,7,7,7,6,7,7,6,6,6,7,7,6,1,7,7,7,7,1,7,6,7,7,6,1,7,1,6,7,1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,287,1,1,28,2,NA,4,2,3,2,6,2,1,2,7,2,1,2,1,1,6,7,2,1,NA,1,1,2,1,7,1,1,3,1,1,3,2,1,1,3,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,5,2,0,1,1,1,6,6,5,6,1,1,1,1,1,1,1,1,1,1,3,1,1,2,6,1,1,2,1,1,1,1,1,5,1,1,1,6,1,1,1,1,1,1,1,1,1,1
90,559,1,1,32,2,NA,8,1,3,1,4,5,6,5,7,5,6,5,1,7,2,4,1,7,NA,6,1,1,1,1,1,5,1,1,5,6,1,1,1,5,1,1,1,1,5,6,4,1,1,1,5,1,1,5,1,7,5,0,2,7,5,5,4,2,1,5,1,1,1,1,5,7,3,1,1,3,1,1,1,7,5,2,1,1,7,1,1,1,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1
91,320,1,1,32,1,NA,8,1,5,3,4,4,5,6,2,7,6,6,1,1,2,3,2,4,NA,6,1,2,4,4,3,4,2,5,5,4,4,3,2,6,4,2,2,1,5,2,3,2,5,1,5,4,2,3,1,1,4,0,3,2,5,1,2,2,1,5,2,3,5,4,6,1,2,2,2,4,3,1,3,5,6,5,4,6,4,4,4,3,1,5,6,3,2,1,1,1,2,1,3,4,2,4,1
92,147,1,1,25,1,NA,6,5,5,4,3,4,4,3,6,4,4,3,3,4,4,5,4,5,NA,5,4,4,6,5,6,5,5,3,4,5,5,4,4,4,5,5,5,3,5,4,4,4,5,3,4,4,6,4,4,5,4,4,5,5,5,5,5,5,4,4,4,5,5,5,3,5,6,4,5,4,5,6,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,354,1,1,34,1,NA,8,5,5,4,3,5,5,5,5,5,3,6,4,5,5,5,4,4,NA,6,1,5,4,5,4,6,4,5,6,5,4,5,6,7,5,4,5,6,6,3,6,4,5,5,4,6,6,6,5,4,5,0,6,2,6,1,1,4,1,6,6,5,5,6,4,1,5,6,5,5,5,5,6,1,6,6,5,5,4,5,5,6,5,4,5,6,5,5,5,5,5,4,5,5,5,4,1
94,366,1,1,30,2,NA,6,2,3,2,5,3,6,6,5,5,4,5,2,1,4,5,5,6,NA,5,1,3,4,5,2,4,2,3,5,6,2,2,2,4,2,2,2,1,2,5,2,2,2,1,5,2,2,5,1,4,4,0,2,4,3,5,5,2,5,5,1,1,2,3,2,5,3,3,1,2,1,1,1,4,4,3,1,4,3,2,3,2,4,1,3,2,4,1,1,1,1,1,1,2,1,2,1
95,386,1,1,30,1,NA,2,1,4,1,2,6,3,4,7,5,4,5,1,4,5,3,1,1,NA,4,1,1,2,3,1,1,1,1,4,7,1,1,2,4,2,1,1,1,5,5,1,1,3,5,1,1,1,4,5,7,1,0,3,7,2,2,6,6,6,5,1,1,1,1,3,7,1,7,7,1,1,4,1,7,5,2,1,4,3,1,1,1,7,1,1,4,5,1,1,1,1,1,1,4,1,1,1
96,267,1,1,25,1,NA,6,5,5,4,5,4,4,5,5,6,7,6,5,4,5,3,4,5,NA,7,5,6,4,4,5,5,4,3,4,3,4,5,4,5,5,5,5,3,5,4,4,4,5,5,5,4,3,5,4,3,5,0,5,6,2,4,5,3,4,6,4,3,4,3,3,4,3,3,5,4,4,3,6,6,4,5,4,5,3,6,5,5,4,5,4,3,4,4,4,4,5,2,4,4,2,3,1
97,276,1,1,28,2,NA,2,1,1,1,5,1,5,2,4,2,3,3,1,1,6,5,1,3,NA,2,1,1,1,5,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,7,1,0,1,6,1,7,7,7,6,2,1,1,1,1,1,7,1,1,1,1,1,1,1,7,2,1,1,1,1,1,1,1,5,1,1,1,7,1,1,1,1,1,1,1,1,1,1
98,294,1,1,55,2,NA,6,1,2,1,6,1,3,5,4,4,5,5,1,1,1,4,1,6,NA,5,1,3,4,5,3,5,1,1,5,5,1,1,1,5,1,1,1,1,1,4,4,1,1,1,5,1,1,5,1,1,5,0,1,1,1,1,1,1,3,5,1,1,4,1,1,1,4,4,1,4,4,1,3,4,5,1,3,4,1,1,1,3,1,1,5,4,1,1,1,1,1,1,4,4,1,1,1
99,651,1,1,36,2,NA,8,1,2,1,1,1,7,7,1,7,7,7,1,1,1,1,1,7,NA,7,1,1,4,1,1,4,1,1,7,7,1,1,1,7,1,1,1,1,3,1,1,1,1,1,1,1,1,7,1,1,7,0,1,1,5,1,1,1,1,7,1,1,7,1,3,1,3,3,1,3,1,1,1,1,7,3,4,7,1,1,3,1,1,1,7,1,1,1,1,1,1,1,1,4,1,4,1
100,238,1,1,26,2,NA,4,1,4,4,1,1,7,7,1,7,6,6,1,1,1,1,5,7,NA,5,1,5,1,1,2,5,1,4,7,1,1,1,1,6,1,1,1,1,6,1,1,1,6,1,1,1,1,7,1,1,6,0,7,1,4,1,1,1,1,7,1,1,4,1,4,1,1,1,1,5,1,1,1,1,7,1,1,6,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,4,1,4,1
101,615,1,1,53,1,NA,8,1,2,1,3,1,6,7,2,5,5,5,1,1,1,1,2,4,NA,6,1,1,4,3,2,4,1,5,4,4,1,1,4,6,2,1,1,2,2,2,2,2,4,1,5,4,3,5,1,3,5,0,5,2,3,1,3,2,2,5,1,4,5,1,4,2,5,4,1,4,2,1,5,2,5,3,5,5,5,3,6,1,2,3,4,4,2,1,1,1,1,1,2,4,1,4,1
102,643,1,1,50,2,NA,6,2,6,5,1,4,7,7,1,7,7,7,1,4,1,1,7,7,NA,7,1,5,7,2,5,7,7,7,7,1,4,4,6,7,4,2,4,1,7,1,7,7,7,4,7,7,7,7,1,1,7,0,5,1,7,1,1,1,1,7,1,4,7,6,5,1,3,7,1,6,4,1,4,1,7,6,7,6,6,4,4,6,7,7,7,6,1,4,4,4,5,4,6,6,6,7,1
103,173,1,1,36,1,NA,5,1,1,1,1,1,4,5,1,5,5,3,1,1,1,1,1,2,NA,3,1,1,1,1,1,1,1,2,4,1,1,1,1,6,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,4,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
104,339,1,1,42,2,NA,8,1,7,7,1,4,7,7,1,7,7,7,1,1,1,1,7,7,NA,7,1,7,7,1,7,7,7,7,7,1,1,7,7,7,7,6,6,2,7,1,7,6,7,7,7,5,4,7,7,1,7,0,7,1,7,1,1,1,7,7,2,4,7,7,7,1,3,1,1,7,7,1,1,7,7,7,7,7,7,7,6,7,6,7,7,6,1,1,1,1,1,1,7,7,1,7,1
105,144,1,1,33,2,NA,3,4,5,5,7,3,6,4,7,4,6,4,7,5,3,3,7,5,NA,6,5,5,4,6,2,5,5,4,5,6,5,7,4,6,5,6,3,5,2,5,3,6,5,4,6,4,6,5,5,7,6,4,4,6,6,6,6,5,5,1,7,5,6,6,2,7,7,7,7,7,7,6,5,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,465,1,1,33,1,NA,8,1,1,1,3,1,5,7,4,6,7,6,1,1,2,5,2,4,NA,5,1,1,1,2,1,3,1,1,5,4,1,1,1,6,1,1,1,1,5,6,1,1,1,1,1,1,1,6,1,1,1,0,1,1,2,1,1,4,2,5,1,1,2,1,5,1,1,1,1,1,1,1,1,2,4,1,1,5,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
108,482,1,1,34,1,NA,7,1,3,1,1,1,7,7,3,7,7,7,1,2,4,1,2,7,NA,7,1,1,1,1,1,7,1,1,7,4,1,1,1,7,1,3,1,1,6,4,4,1,1,1,7,4,1,7,1,1,7,0,1,1,6,1,1,1,3,7,3,1,6,1,4,1,3,6,1,5,2,1,7,1,7,6,7,7,4,4,3,3,1,1,7,7,1,1,1,5,3,4,2,7,5,5,1
109,358,1,1,29,1,NA,7,1,6,5,1,2,7,7,3,7,7,7,1,1,1,5,6,7,NA,7,1,6,5,1,4,7,5,6,7,5,2,6,6,7,4,1,5,1,7,2,6,7,7,1,7,7,2,7,1,1,7,0,7,3,7,1,1,1,1,7,1,1,7,6,7,1,6,6,2,6,6,1,6,1,7,7,7,7,7,6,7,6,2,6,7,7,1,1,2,1,5,6,6,5,5,7,1
110,527,1,1,27,2,NA,3,4,2,4,2,4,4,3,2,3,4,6,4,4,3,2,5,4,NA,3,4,2,6,5,4,6,4,2,4,2,3,5,3,2,5,2,4,5,4,4,5,3,4,3,4,6,5,4,4,3,3,0,4,4,4,3,4,4,3,4,3,5,6,4,2,5,4,3,3,4,2,2,4,4,3,3,4,3,2,3,3,3,4,5,4,4,4,4,6,3,5,2,3,4,5,4,1
111,599,1,1,33,1,NA,6,1,1,1,5,5,5,6,6,6,6,6,1,5,3,5,2,4,NA,5,1,1,2,5,1,3,1,1,6,5,1,1,1,6,1,1,1,2,5,1,1,1,1,4,4,1,3,5,1,1,4,0,1,5,6,5,5,5,5,6,1,1,1,1,5,4,3,4,4,1,1,4,3,5,6,1,1,6,4,1,1,1,4,1,5,4,5,1,3,1,3,3,1,4,3,4,1
112,298,1,1,29,1,NA,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
113,118,1,1,99,1,NA,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1127,1,1,99,1,NA,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,15,1,1,11,1,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,326,1,1,27,2,NA,6,1,2,3,1,1,6,5,2,4,4,2,1,1,1,1,1,6,1,5,1,2,2,1,2,4,4,1,5,2,1,1,2,6,1,1,2,1,5,2,1,1,1,1,2,1,1,5,1,1,4,0,2,1,2,1,1,4,1,5,1,1,4,1,2,1,2,1,1,4,2,1,1,1,5,4,5,5,2,1,1,1,1,1,6,1,1,1,1,1,1,1,5,4,1,5,1
117,605,1,1,36,2,NA,5,5,6,6,5,6,6,5,5,5,5,5,5,6,5,5,5,6,1,5,6,6,5,5,6,6,6,6,6,5,5,6,5,6,6,5,5,6,6,5,5,5,6,5,5,5,5,6,6,5,5,0,5,6,5,5,6,6,5,5,4,5,6,5,5,6,5,5,3,5,5,5,5,5,6,6,5,5,5,6,5,5,6,5,5,6,6,5,6,3,5,5,5,6,5,5,1
118,335,1,1,30,2,NA,2,1,1,1,1,1,5,5,3,5,4,5,1,2,3,1,3,4,1,5,1,1,1,1,1,3,1,3,5,3,1,1,1,5,1,1,1,1,5,4,3,1,1,1,5,1,1,4,1,1,3,0,4,1,4,1,1,4,1,5,1,1,4,1,3,1,1,5,1,3,1,1,1,1,5,1,4,5,3,1,1,1,1,3,3,2,1,1,1,1,1,1,1,2,1,2,1
119,383,1,1,31,1,NA,7,2,5,3,3,1,5,6,2,7,6,6,1,1,2,3,1,6,1,6,1,2,4,3,2,3,2,1,6,4,1,2,2,6,2,1,2,1,4,3,2,2,3,1,2,3,1,2,2,2,2,0,5,1,5,2,2,2,3,6,1,1,4,2,5,2,4,5,2,4,2,2,3,3,6,3,3,6,3,3,3,2,2,3,4,2,2,1,1,1,2,2,1,4,2,2,1
120,766,1,1,65,2,NA,1,2,4,4,4,1,2,4,2,4,4,5,2,1,1,2,2,4,1,4,1,2,4,2,4,4,2,2,4,4,1,2,2,4,1,1,1,1,4,1,4,2,2,2,5,4,1,4,1,1,4,0,2,1,2,1,1,1,1,5,1,1,1,2,2,1,1,2,1,5,4,1,1,1,4,2,4,3,4,1,1,2,1,2,2,1,1,1,1,1,1,1,4,2,1,2,1
121,268,1,1,24,2,NA,7,4,7,7,1,7,7,7,1,7,7,7,1,4,1,1,7,7,1,7,1,7,7,1,7,7,7,7,7,1,1,7,7,7,1,1,7,1,7,1,7,7,7,1,7,7,7,7,1,1,7,0,7,7,7,1,1,1,1,7,1,7,7,7,7,1,7,7,1,7,7,1,7,1,7,7,7,7,7,7,7,7,1,7,7,7,1,1,1,1,1,1,7,7,1,7,1
122,1123,1,1,35,2,NA,8,2,4,4,4,3,6,7,1,6,1,7,1,1,1,1,5,4,1,7,3,4,4,1,5,7,4,6,7,4,1,5,5,7,1,1,3,1,6,5,6,6,5,5,6,1,1,6,1,1,6,0,4,1,7,1,1,1,1,7,1,1,4,4,4,1,1,3,1,4,4,1,1,1,7,4,5,7,5,4,5,4,1,4,4,4,1,1,1,1,1,1,4,5,1,6,1
123,414,1,1,29,2,NA,8,4,6,7,5,5,7,7,5,7,1,6,4,6,3,6,7,7,1,7,7,6,7,6,6,6,6,4,5,6,1,7,6,7,7,7,6,7,7,2,7,6,6,5,7,6,6,6,2,5,7,0,5,7,7,2,4,6,7,7,6,6,7,5,5,3,5,5,1,7,4,3,2,5,6,6,5,3,7,5,7,6,6,6,7,7,6,1,2,7,2,4,7,6,7,6,1
124,453,1,1,60,1,NA,7,2,4,4,2,2,5,6,2,6,6,6,2,2,2,2,2,5,1,6,2,2,5,2,3,3,2,4,6,6,2,2,3,6,2,2,2,2,5,2,2,2,2,2,5,3,2,5,2,2,4,0,3,2,6,2,2,1,2,6,2,2,4,2,5,2,4,2,2,4,3,2,2,2,6,3,5,6,4,2,3,3,2,4,3,2,1,2,2,2,2,1,3,3,2,3,1
125,344,1,1,44,1,NA,1,4,7,5,7,7,7,7,7,7,7,7,1,7,4,4,7,7,1,7,1,5,7,7,7,7,7,5,6,5,4,7,4,5,5,7,5,1,5,3,6,5,4,5,6,5,3,6,6,5,4,0,7,5,7,1,7,7,6,5,6,4,7,4,5,4,6,5,7,7,4,4,5,7,6,7,5,7,7,4,7,7,7,4,4,4,4,4,7,7,7,7,7,7,7,5,1
126,559,1,1,47,2,NA,6,1,5,3,2,1,5,5,2,5,5,5,1,2,2,2,3,5,1,5,1,3,3,2,3,4,4,3,5,2,2,4,2,5,2,2,4,2,5,3,3,4,3,2,4,5,3,5,2,2,4,0,4,2,3,2,2,2,3,5,2,3,4,4,4,2,3,4,2,3,4,2,2,2,5,4,4,5,4,2,5,4,2,3,5,3,2,2,2,2,2,2,4,5,2,4,1
127,483,1,1,39,1,NA,6,1,2,1,2,1,4,7,4,6,6,5,1,1,2,3,1,4,1,7,1,2,1,2,1,4,1,3,6,7,1,1,1,6,1,1,4,1,5,5,3,1,1,1,6,5,5,6,1,4,5,0,1,3,5,3,4,4,4,5,1,1,3,1,4,3,1,5,1,1,1,1,5,4,6,2,3,5,5,1,2,1,4,1,4,2,3,1,1,1,1,1,1,4,1,3,1
128,319,1,1,51,1,NA,7,1,1,2,2,1,5,7,1,6,7,6,1,1,1,1,4,7,1,4,1,1,1,2,2,4,1,4,6,1,1,1,1,7,1,1,1,1,6,1,4,1,1,1,4,1,1,4,1,1,4,0,2,1,2,1,1,2,1,5,1,1,5,1,4,1,4,1,1,4,2,1,3,1,6,4,4,6,2,2,4,1,1,1,5,4,1,1,1,1,1,1,1,4,2,2,1
129,2113,1,1,35,1,NA,8,1,4,5,3,1,5,5,3,5,5,5,1,1,3,3,3,5,1,5,1,4,3,3,4,4,1,2,5,5,1,1,2,5,1,1,1,1,3,3,2,4,1,1,5,2,1,4,1,1,4,0,3,1,4,1,1,1,1,4,1,1,4,1,2,1,2,4,1,5,2,1,1,1,4,4,4,4,3,1,3,1,1,2,4,1,1,1,1,1,1,1,4,2,1,3,1
130,711,1,1,39,1,NA,6,1,4,5,2,2,5,6,1,6,6,6,1,2,1,1,1,5,1,6,1,5,3,2,5,2,4,1,7,5,1,5,3,6,1,1,4,1,5,2,5,5,1,5,6,4,2,5,2,2,4,0,4,3,5,1,2,3,2,7,1,3,5,5,2,2,3,5,5,5,6,3,4,3,5,5,5,6,5,1,2,5,2,6,5,4,2,2,1,1,1,5,5,5,1,5,1
131,281,1,1,29,2,NA,5,4,2,1,5,6,5,6,5,5,5,4,3,5,4,5,3,5,1,4,1,1,4,4,2,4,5,3,4,6,2,3,1,4,1,3,3,1,4,4,3,3,2,5,7,3,2,4,5,4,4,0,4,4,4,5,4,4,5,4,2,4,4,1,4,4,3,4,5,4,3,4,4,4,4,4,2,4,3,4,2,3,4,3,6,3,3,4,3,2,3,4,2,4,3,3,1
132,416,1,1,35,2,NA,2,1,2,3,2,5,5,5,5,5,5,5,2,6,2,2,3,4,1,6,1,4,6,2,3,5,2,3,5,5,3,2,2,5,5,3,2,6,5,2,4,3,3,6,6,3,3,5,6,4,4,0,3,4,5,3,3,4,3,5,6,5,5,2,5,3,4,6,5,5,3,6,5,4,6,3,3,6,5,3,5,2,3,3,4,5,3,6,5,6,6,6,4,5,5,4,1
133,235,1,1,43,2,NA,8,1,7,7,1,4,7,7,1,7,7,7,1,4,1,1,7,7,1,7,1,7,7,1,7,7,7,7,7,1,7,7,7,7,7,1,7,4,7,1,7,7,7,4,7,7,4,7,1,1,7,0,7,1,7,1,1,1,1,7,4,7,7,7,7,1,4,4,4,7,7,1,4,1,7,7,7,7,7,4,7,7,1,7,7,7,1,4,4,4,4,1,7,7,4,7,1
134,372,1,1,26,1,NA,7,2,3,3,4,2,6,6,6,6,6,6,2,3,4,4,4,3,1,5,2,3,2,4,2,2,2,2,5,5,1,2,2,5,2,2,2,1,6,6,2,2,4,1,5,2,1,5,2,6,2,0,3,5,5,5,5,7,4,5,1,2,2,2,4,5,4,6,2,2,4,2,4,5,5,2,2,5,2,2,5,2,6,1,2,2,5,1,1,1,2,1,2,1,1,2,1
135,328,1,1,30,1,NA,8,1,2,1,1,3,5,7,1,7,7,7,1,2,1,1,3,4,1,7,1,1,3,1,1,5,1,3,7,1,1,1,1,7,1,1,1,1,5,1,4,1,1,1,4,2,1,4,1,1,4,0,1,1,4,1,1,1,1,7,1,1,4,1,2,1,6,5,1,1,1,1,5,1,7,1,1,7,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1
136,2486,1,1,54,1,NA,6,1,5,4,2,1,7,7,2,7,7,7,1,4,2,1,5,4,1,7,1,4,4,1,1,7,4,5,7,7,1,4,5,7,4,1,4,1,5,1,4,7,4,1,6,1,2,7,1,1,4,0,5,1,4,1,1,1,1,7,1,4,5,7,7,1,1,3,1,4,5,1,7,1,7,2,7,7,3,1,4,6,1,4,4,4,1,1,1,1,1,1,4,4,1,4,1
137,678,1,1,60,1,NA,7,2,2,1,2,1,5,6,2,6,6,6,1,3,1,1,2,7,1,6,1,4,2,2,2,5,1,2,6,4,1,1,2,6,1,2,1,1,5,2,5,2,3,2,6,2,4,6,1,1,5,0,3,2,4,1,2,2,2,6,1,1,6,2,3,2,2,3,1,3,2,1,3,2,6,3,4,6,2,1,4,1,2,2,7,2,2,1,1,1,1,1,2,5,1,5,1
138,121,1,1,31,2,NA,7,1,3,3,3,2,4,6,4,6,4,4,2,3,3,2,3,4,1,7,3,2,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,0,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,4,3,4,3,3,3,3,3,4,4,4,3,3,4,3,4,3,3,3,3,1
139,282,1,1,27,1,NA,7,1,2,3,5,1,4,4,7,4,3,3,1,6,5,5,3,4,1,4,1,2,3,6,1,1,5,2,3,5,3,2,4,3,1,3,4,1,5,4,1,3,1,4,4,1,2,2,3,7,3,0,3,6,2,6,6,6,5,3,1,1,2,2,2,7,2,5,3,2,2,4,1,7,4,1,5,1,3,1,1,3,5,2,4,2,6,1,1,1,1,1,2,2,1,1,1
140,457,1,1,51,2,NA,8,1,2,1,6,1,7,7,5,7,6,6,1,1,6,4,2,4,1,6,1,2,2,5,2,4,2,1,6,7,1,1,1,7,1,1,1,1,6,4,1,1,1,1,7,1,1,5,1,4,4,0,1,4,4,4,4,4,4,6,1,1,1,1,1,4,1,1,1,5,1,1,1,4,6,4,4,6,5,1,5,1,4,1,4,1,4,1,1,1,1,1,1,4,1,2,1
141,238,1,1,23,1,NA,7,1,1,2,1,1,2,5,1,5,4,3,1,1,1,2,2,3,1,5,1,1,2,1,2,4,1,1,5,2,1,1,2,4,1,1,1,1,5,2,2,2,1,1,3,1,1,4,1,2,2,0,3,1,3,2,1,1,1,5,1,1,2,1,1,1,2,3,1,2,2,1,3,1,4,2,2,4,2,1,1,1,1,2,3,1,2,1,1,1,1,1,2,2,1,2,1
142,474,1,1,50,2,NA,7,1,4,4,1,1,5,5,1,5,5,4,1,4,1,1,5,5,1,5,1,6,3,1,5,4,4,5,5,5,3,4,4,5,2,5,4,2,5,5,5,4,5,1,5,1,1,5,1,1,5,0,5,1,4,1,1,4,1,5,1,1,5,1,5,1,2,5,1,5,5,1,1,1,5,4,5,5,5,4,5,4,1,4,5,3,1,1,1,1,1,2,4,4,3,5,1
143,-1,1,1,23,1,NA,2,2,4,3,5,2,6,4,6,3,5,7,1,5,3,3,1,5,1,5,1,1,4,5,2,5,1,1,6,5,1,1,1,5,1,1,2,1,5,6,1,3,1,1,6,1,1,6,1,7,4,0,4,3,4,4,5,1,5,6,1,1,5,1,5,4,1,6,1,1,3,1,4,5,7,1,3,6,4,1,4,1,4,1,1,3,3,1,1,1,1,1,4,3,1,4,1
144,262,1,1,35,2,NA,8,4,6,5,5,5,6,6,5,6,6,6,5,5,5,4,5,5,1,6,5,5,5,6,6,6,6,5,6,6,4,5,6,6,6,6,6,4,5,5,4,5,5,5,5,6,6,5,5,5,6,0,6,6,6,5,5,5,6,5,6,6,4,6,5,5,5,6,5,6,6,4,5,4,6,5,5,6,5,6,5,6,6,5,6,5,6,4,5,5,4,6,5,6,5,5,1
145,432,1,1,46,1,NA,7,1,2,2,6,1,3,6,5,6,6,6,1,2,7,5,1,3,1,6,1,2,4,5,1,2,1,5,5,6,3,1,2,6,4,1,1,1,6,1,2,2,4,2,4,3,2,6,2,5,3,0,1,5,5,5,6,5,7,6,2,3,2,1,6,5,5,5,1,4,1,1,4,5,6,2,3,5,3,1,3,2,6,2,2,4,6,2,2,1,2,2,2,2,2,2,1
146,492,1,1,44,2,NA,8,2,2,1,4,5,3,2,5,2,1,1,2,4,6,5,1,2,1,2,2,3,3,7,4,1,1,3,1,3,1,1,1,2,1,1,1,1,1,5,1,1,1,5,2,1,2,2,5,7,3,0,1,7,1,5,7,7,7,1,1,2,3,2,1,7,2,3,4,3,1,5,2,7,1,4,1,1,1,1,3,1,7,1,1,2,7,3,1,1,3,2,2,1,3,1,1
147,328,1,1,31,2,NA,1,1,1,1,3,1,2,2,6,2,1,2,1,1,5,6,1,3,1,3,1,1,1,5,1,1,1,1,2,3,1,1,1,2,1,1,1,1,3,4,1,1,1,2,3,1,2,2,1,5,1,0,1,7,2,6,7,7,7,2,1,1,1,1,2,7,1,1,1,1,1,1,1,7,1,1,1,2,1,1,1,1,7,1,1,1,4,1,1,1,1,1,1,1,1,1,1
148,256,1,1,27,2,NA,4,4,4,3,6,5,2,5,4,4,5,2,5,5,4,4,3,4,6,5,3,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,294,1,1,28,2,NA,6,1,1,1,5,1,4,5,5,4,3,2,1,1,2,5,1,3,1,4,1,1,1,5,1,1,1,1,3,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,463,1,1,44,1,NA,6,2,4,2,2,2,4,6,2,6,6,6,2,2,2,2,5,5,1,6,2,2,2,2,2,6,2,4,6,6,2,3,4,6,2,2,2,2,5,2,4,2,4,2,2,2,2,6,2,2,4,0,4,2,4,2,2,2,2,6,2,2,5,2,5,2,2,2,2,2,2,2,2,2,6,2,4,6,2,2,5,3,2,3,4,2,2,2,2,2,2,2,2,2,2,4,1
